Name,Line,Sentiment,Irony,Hate,Intimacy,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
DOROTHY,"Oh, but he doesn't do it every day --
             just once or twice a week. And he can't
             catch her old cat, anyway. And now she
             says she's gonna get the sheriff, and --",0.1,[0.03857687 0.05847106],[ 1.384638  -1.3725092],0.0945833325386047,-6.567978382110596,-5.976325988769531,-6.311749458312988,-4.462131500244141,-4.172268390655518,-7.039234638214111,-5.565722465515137,-6.581381320953369,-7.660505771636963,-4.889073371887207,-3.90940523147583,-6.881484031677246,-7.347090244293213,-7.2845683097839355,-7.311084270477295,-7.666149139404297,-8.073284149169922,-6.759433746337891,-7.864171981811523,-8.022619247436523,-6.120853900909424,-8.578043937683105,-4.350489616394043,-7.868160724639893,-8.115544319152832,-5.949574947357178,-7.157381057739258,2.6590991020202637
AUNT EM,Dorothy!     Dorothy!   We're busy!,0.125,[-1.1893374  1.4348031],[ 1.913741  -1.7583848],0.0917180478572845,-5.495240211486816,-4.9696364402771,-6.164058685302734,-5.319368839263916,-3.8844211101531982,-5.942005157470703,-6.278573989868164,-5.900252819061279,-6.238594055175781,-6.362345218658447,-6.705626964569092,-7.144265651702881,-7.30341100692749,-2.4053351879119873,-6.261106967926025,-6.636070251464844,-7.4488205909729,-2.747972011566162,-6.105231285095215,-6.459892272949219,-6.159265995025635,-6.670342445373535,-4.762740135192871,-6.153318881988525,-7.9338250160217285,-6.228339672088623,-5.375222682952881,1.3031129837036133
DOROTHY,"Oh -- all right.

MCS - Aunt Em and Uncle Henry taking chicks out of incubator -",0.2857142857142857,[-0.36537248  0.82627755],[ 1.110572  -1.2595285],0.0991728007793426,-5.662627696990967,-5.869484901428223,-7.18728494644165,-5.631572723388672,-1.5918749570846558,-5.920840263366699,-6.860623836517334,-6.9982099533081055,-7.296955585479736,-6.536644458770752,-6.0558366775512695,-7.060956001281738,-7.571444988250732,-5.114340305328369,-6.687692165374756,-6.791914463043213,-7.927420139312744,-4.192848205566406,-6.829900741577148,-7.082669258117676,-5.6020379066467285,-6.761225700378418,-4.260768890380859,-5.765163898468018,-8.052902221679688,-6.46328067779541,-6.940857887268066,1.4065680503845215
UNCLE HENRY,"Poor little orphan, and her Miss Gulch
             troubles. Gosh all hemlock - you know,
             she ought to have somebody to play with.",-0.29375,[ 0.34096688 -0.20710722],[ 1.1306269 -1.0532426],0.1159193664789199,-5.692357063293457,-5.744598388671875,-5.258030891418457,-3.770989418029785,-4.712743759155273,-4.413753986358643,-5.716219425201416,-5.145885467529297,-5.053467750549316,-1.8559824228286743,-4.83043909072876,-5.766017913818359,-6.270752429962158,-6.891082763671875,-6.274660587310791,-7.645970344543457,-4.227569103240967,-5.757908821105957,-5.941938400268555,-5.237446308135986,-5.762155532836914,-8.191720008850098,-4.52289342880249,-6.654196262359619,-5.071849822998047,1.3776042461395264,-6.438476085662842,-1.5201072692871094
AUNT EM,"I know, but we all got to work out our
             own problems, Henry.",0.6,[0.24381156 0.36284825],[ 1.7374624 -1.6520628],0.1103717684745788,-7.110624313354492,-6.441893100738525,-6.138685703277588,-3.508558988571167,-2.877978563308716,-4.972865104675293,-5.234708786010742,-5.673117637634277,-6.599197864532471,-2.4155521392822266,-4.389189720153809,-6.623394012451172,-6.2234697341918945,-7.618591785430908,-6.777222633361816,-8.6863431930542,-6.582650661468506,-5.973555564880371,-7.267757415771484,-5.6866655349731445,-5.289368629455566,-8.087370872497559,-3.4447073936462402,-6.231675624847412,-5.8462324142456055,-2.4859964847564697,-7.488578796386719,0.6202877759933472
UNCLE HENRY,Yes.,0.0,[0.35707092 0.19407618],[ 0.7713877 -0.6977943],0.0905307829380035,-4.860342025756836,-6.753462791442871,-6.538954734802246,-5.257217884063721,0.011016489937901497,-6.72702693939209,-5.336982250213623,-5.33139705657959,-6.178968906402588,-6.936604022979736,-5.771952152252197,-7.091067790985107,-8.130999565124512,-3.737283945083618,-7.324353218078613,-6.970932960510254,-8.483695030212402,-4.976077079772949,-6.100109577178955,-7.869263648986816,-5.355214595794678,-7.0138444900512695,-4.333276271820068,-6.6477837562561035,-8.98541259765625,-7.456728458404541,-6.142909049987793,-0.32619157433509827
AUNT EM,"Oh, I hope we got them in time.",0.0,[0.22521085 0.46508357],[ 1.5880966 -1.4815896],0.0877607464790344,-4.641139984130859,-5.652597427368164,-5.999121189117432,-5.045051097869873,-4.2546820640563965,-4.030666351318359,-5.85365629196167,-5.554062843322754,-1.9117152690887451,-5.012937068939209,-5.3301191329956055,-6.610595703125,-7.5458664894104,-5.503554821014404,-6.53616189956665,-5.161233901977539,-7.416215419769287,-5.770561218261719,-5.46248197555542,-7.282135009765625,2.179818868637085,-6.81669807434082,-4.923636436462402,-7.275148868560791,-5.7307329177856445,-6.033304691314697,-5.795259952545166,-2.7167725563049316
UNCLE HENRY,"Yes.

MLS -- Zeke -- Hunk and Hickory working on wagon -- Hickory
and Zeke lowering bed of wagon into place --",0.0,[ 1.5166208 -1.0717901],[ 1.7818905 -1.8737403],0.0867856740951538,-5.262752532958984,-6.293067455291748,-6.636087894439697,-5.630493640899658,-3.2581875324249268,-7.101955413818359,-6.398955345153809,-6.707329750061035,-6.97068452835083,-6.3061089515686035,-6.275209903717041,-6.682187557220459,-7.812063694000244,-5.43588399887085,-7.011883735656738,-7.093721866607666,-8.13444709777832,-5.710679531097412,-6.2216997146606445,-8.24011516571045,-6.2166748046875,-7.616528511047363,-5.084939002990723,-7.720603942871094,-8.222820281982422,-6.701643466949463,-6.982661247253418,2.8554728031158447
ZEKE,How's she coming?,0.0,[ 2.2747374 -1.4206269],[ 1.0079782 -0.980479 ],0.0981739461421966,-6.34651517868042,-6.634951591491699,-6.083308696746826,-4.7203240394592285,-5.456063270568848,-6.460406303405762,-1.3284989595413208,0.3844476044178009,-6.92648983001709,-5.983902454376221,-5.632381916046143,-6.9683613777160645,-7.306180000305176,-6.534915447235107,-6.922726631164551,-7.066084861755371,-8.153822898864746,-7.2190399169921875,-6.786373138427734,-7.654660224914551,-6.1431884765625,-9.998664855957031,-5.7109575271606445,-8.961810111999512,-7.7190842628479,-6.580883502960205,-4.988536357879639,-0.5317264795303345
ZEKE,"Well, why don't you get your finger out
          of the way!

MLS -- Zeke and Hickory put wagon bed in place -- Hunk
sitting on ground by wagon -- Dorothy enters -- comes forward
to Zeke -- CAMERA TRUCKS forward on them -- they speak --
Zeke exits left f.g. -- Hunk enters -- speaks to Dorothy --
Hickory exits right -- PAN left as Hunk and Dorothy go over
by wagon -- they speak -- Dorothy exits right -- Hunk hits
his finger with hammer -- whirls around --",0.1428571428571428,[ 1.1431829  -0.88555133],[ 1.1547714 -1.4437472],0.0919494032859802,-6.455354690551758,-5.7683634757995605,-5.595977306365967,-4.525665760040283,-4.709811210632324,-6.351398468017578,-4.546877861022949,-4.675998687744141,-7.031421661376953,-6.180351734161377,-5.709845066070557,-6.78499698638916,-7.523536205291748,-6.5056538581848145,-7.031993389129639,-7.673705577850342,-8.208219528198242,-6.751466274261475,-7.680187225341797,-7.887645721435547,-6.074905872344971,-8.787835121154785,-5.3978424072265625,-8.434527397155762,-8.313027381896973,-6.775850772857666,-6.7874650955200195,3.0665225982666016
HICKORY,Come on - come on - over this way.,0.0,[ 1.8649025  -0.95827734],[ 0.9705788  -0.87567854],0.0940278172492981,-5.9267096519470215,-6.245891571044922,-6.380345821380615,-5.5086774826049805,-4.029138088226318,-6.6185712814331055,-5.644040107727051,-6.0947184562683105,-6.817901134490967,-6.174732685089111,-5.981515407562256,-6.662572860717773,-7.671119213104248,-5.774918556213379,-6.790844440460205,-6.959084510803223,-7.989984035491943,-5.890393257141113,-6.423210144042969,-7.9440155029296875,-6.153724193572998,-8.003530502319336,-5.138469219207764,-7.87921667098999,-7.964633941650391,-6.524139881134033,-6.975697994232178,3.2508745193481445
ZEKE,Okay.,0.5,[0.18276115 0.53094697],[ 0.928708   -0.86421824],0.0899052321910858,-5.661185264587402,-6.7010297775268555,-6.796283721923828,-5.066849231719971,0.8790973424911499,-6.025568008422852,-5.562747001647949,-5.821681022644043,-6.899352073669434,-6.505791664123535,-5.48784875869751,-6.685486793518066,-7.54746150970459,-5.817079067230225,-7.09011697769165,-4.848363876342773,-8.000055313110352,-5.7206010818481445,-6.344833850860596,-7.475759506225586,-5.599394798278809,-7.3272881507873535,-3.952385425567627,-5.914352893829346,-7.723630905151367,-6.433065891265869,-6.699690818786621,-1.3569436073303223
HICKORY,There you are.,0.0,[0.09572731 0.5111767 ],[ 1.3859977 -1.316878 ],0.0880739986896514,-5.886179447174072,-5.914872169494629,-6.410999774932861,-5.215486526489258,-3.565490484237671,-7.038668632507324,-5.629473686218262,-5.128147125244141,-6.246950626373291,-6.110161781311035,-6.7067952156066895,-6.968873023986816,-7.240723133087158,-2.585484027862549,-6.401156902313232,-7.108673095703125,-7.532098293304443,-4.483491897583008,-6.476144790649414,-6.844110488891602,-5.570349216461182,-7.097412109375,-3.740957260131836,-6.685873985290527,-8.309744834899902,-6.5960845947265625,-3.564962863922119,1.57289457321167
ZEKE,It's a lucky thing it wasn't your head.,0.3333333333333333,[ 1.4119197 -0.6358662],[ 1.3815955 -1.233029 ],0.1178919672966003,-3.0776538848876953,-5.92076301574707,-6.365774631500244,-4.484321117401123,-2.5255820751190186,-3.9478883743286133,-6.974090576171875,-7.2855424880981445,-5.970642566680908,-4.723862171173096,-5.028307914733887,-6.847001552581787,-5.928073406219482,-3.500601291656494,-6.823742389678955,-3.104423761367798,-5.777232646942139,-0.30237624049186707,-7.041179656982422,-6.120554447174072,-4.728200912475586,-3.2629554271698,-3.590989828109741,-1.6958482265472412,-6.748978137969971,-5.055594444274902,-5.0139546394348145,-1.2342731952667236
DOROTHY,"Zeke, what am I going to do about Miss
          Gulch? Just because Toto chases her old
          cat --",0.1,[ 1.01514 -0.59168],[ 1.0885528 -1.2186168],0.1099955141544342,-6.563040256500244,-5.663251876831055,-5.858255386352539,-4.645027160644531,-4.728507995605469,-6.247900009155273,-1.9464813470840454,-0.8704313039779663,-6.539859294891357,-6.580383777618408,-6.195317268371582,-7.23404598236084,-7.53536319732666,-5.877397537231445,-6.960393905639648,-7.739710807800293,-8.353264808654785,-6.452112197875977,-6.731919288635254,-7.567999839782715,-5.688758373260498,-9.429226875305176,-5.455989360809326,-8.452803611755371,-7.927762031555176,-7.101820468902588,-5.43775749206543,0.9736486077308655
ZEKE,"Listen, honey, I got them hogs to get in.",0.0,[ 1.1378536  -0.33807096],[ 0.1421273 -0.1278647],0.0898110270500183,-6.348126411437988,-6.43282413482666,-5.569225788116455,-4.144017696380615,-4.108222484588623,-5.58400297164917,-6.738946914672852,-6.037317752838135,-5.863247394561768,-5.816392421722412,-5.923934459686279,-6.453012466430664,-7.846801280975342,-6.478592395782471,-7.266011714935303,-7.814496994018555,-8.173644065856934,-6.777377605438232,-6.702462196350098,-8.139544486999512,-6.033079147338867,-8.521374702453613,-5.769325256347656,-8.290188789367676,-8.025636672973633,-6.113974094390869,-7.74043083190918,2.839174270629883
DOROTHY,I have so got brains.,0.0,[-0.17228933  1.0831122 ],[ 1.3427697 -1.1597266],0.094295859336853,-1.7765681743621826,-6.263558387756348,-6.522150039672852,-4.690991401672363,-0.9760745763778687,-6.333858013153076,-7.655267715454102,-7.217192649841309,-5.848829746246338,-6.1299729347229,-6.43320369720459,-6.988980770111084,-7.463214874267578,-2.711942672729492,-7.510426998138428,-6.496946334838867,-7.7564778327941895,-3.8679771423339844,-6.256378173828125,-7.840909957885742,-4.910542011260986,-4.505327224731445,-3.860727310180664,-5.357852458953857,-8.452523231506348,-7.1605377197265625,-5.346860885620117,-0.07504987716674805
DOROTHY,"Oh, Hunk, you just won't listen, that's
          all.",0.0,[-0.18302377  0.67827815],[ 1.5828258 -1.5095578],0.0932015180587768,-6.644357204437256,-6.2628936767578125,-4.020590305328369,-1.4221230745315552,-4.204999923706055,-6.323375225067139,-6.17180871963501,-6.460912704467773,-6.93566370010376,-1.7233800888061523,-1.4824414253234863,-5.8674468994140625,-5.933276653289795,-7.016211986541748,-7.396737575531006,-7.6182661056518555,-7.114950656890869,-6.329843997955322,-7.694933891296387,-7.079319953918457,-5.978310585021973,-7.79630708694458,-4.089302062988281,-7.020763874053955,-7.064844131469727,-4.1053290367126465,-6.035612106323242,-0.047522395849227905
HICKORY,"Oh! Oh, it feels like my joints are
          rusted. Listen, Dorothy, don't let Hunk
          kid you about Miss Gulch. She's just a
          poor sour-faced old maid that -- she
          ain't got no heart left. You know, you
          should have a little more heart yourself,
          and have pity on her.",-0.0145833333333333,[ 0.63698953 -0.27749774],[ 0.55326545 -0.45961407],0.11174276471138,-5.957314491271973,-6.19467306137085,-4.806725025177002,-2.753185510635376,-4.017183303833008,-1.5458192825317383,-6.825538635253906,-6.282855033874512,-6.256628036499023,-2.8789525032043457,-3.558729887008667,-5.824810981750488,-6.221713542938232,-7.435423374176025,-6.292965412139893,-7.555286407470703,-5.4319634437561035,-6.3527631759643555,-7.111593246459961,-5.6208600997924805,-4.867437362670898,-7.5921525955200195,-4.373485088348389,-6.030847072601318,-5.501469612121582,-1.5168522596359253,-7.513359069824219,0.10722559690475464
DOROTHY,"Well, gee, I try and have a heart.",0.0,[-0.31906736  0.86648124],[ 1.6207234 -1.580592 ],0.1132180839776992,-5.254573822021484,-6.83746337890625,-7.079849720001221,-4.451453685760498,-1.3253682851791382,-5.868105411529541,-7.467682838439941,-7.513999938964844,-3.1175405979156494,-4.789675235748291,-4.574362277984619,-6.247274398803711,-7.332135200500488,-5.597750186920166,-7.588851451873779,-6.659726142883301,-8.168174743652344,-6.171792507171631,-6.4508957862854,-7.542355537414551,-3.9059574604034424,-6.725727081298828,-3.69887375831604,-6.24908971786499,-7.342243671417236,-6.350012302398682,-7.364668846130371,0.7661877274513245
HICKORY,"Now look, here's something that really
          has a heart. This is the best invention I
          ever invented.",0.6,[-1.3613641  1.4776717],[ 1.6621921 -1.6801914],0.0908071100711822,2.04313588142395,-6.110455513000488,-5.844080448150635,-4.899499416351318,-1.5273724794387817,-6.689150810241699,-6.373137474060059,-5.93454122543335,-6.9066267013549805,-6.106947422027588,-5.45154333114624,-6.759373664855957,-7.982694625854492,-4.121644973754883,-7.718933582305908,-6.310764789581299,-8.050768852233887,-4.996736526489258,-5.472659587860107,-8.782615661621094,-5.35205078125,-5.150791168212891,-4.516139984130859,-6.821303844451904,-8.729728698730469,-7.449220180511475,-5.251132965087891,-2.6343295574188232
DOROTHY,This?,0.0,[ 1.6235627  -0.85229594],[ 1.2229176 -1.214966 ],0.0904936790466308,-6.102338790893555,-6.739332675933838,-6.485994815826416,-5.206451892852783,-4.1529741287231445,-7.080188751220703,-1.680456519126892,-0.8550385236740112,-7.134101867675781,-6.7196526527404785,-6.11320686340332,-6.848331451416016,-7.501701831817627,-5.77964448928833,-6.901213645935059,-7.385878562927246,-8.366615295410156,-6.962214946746826,-6.478033065795898,-7.8751606941223145,-6.179283142089844,-9.303973197937012,-4.986438751220703,-8.612977027893066,-8.282023429870605,-7.197490215301514,-4.707578182220459,0.7844271659851074
HICKORY,"Sure. It's to break up winds, so we don't
          have no more dust storms. Can you imagine
          what it'll mean to this section of the
          country? I'll show you. It works
          perfectly now. Here's the principle. You
          see that fan -- that sends up air
          currents into the sky. These air currents
          -- Oh, stop it!",0.234375,[0.17290777 0.2112064 ],[ 1.2129995 -1.2735896],0.0929362177848815,-5.953531265258789,-6.5617218017578125,-6.109914302825928,-4.2859930992126465,-1.2275549173355103,-6.009174346923828,-3.6713178157806396,-2.2471110820770264,-6.3425445556640625,-6.251145839691162,-5.24401330947876,-7.368077754974365,-7.99331521987915,-4.986722946166992,-6.857265949249268,-8.546346664428711,-8.547945022583008,-5.963411331176758,-7.417853355407715,-7.488272190093994,-4.2579545974731445,-8.261170387268066,-4.121948719024658,-7.219270706176758,-8.72141170501709,-7.306946277618408,-5.382691383361816,0.5432891845703125
DOROTHY,Oh!,0.0,[-0.5657875  1.0871607],[ 1.1151973 -1.0394814],0.0906717479228973,-5.322993278503418,-4.7205424308776855,-4.949381351470947,-4.307392120361328,-4.837921142578125,-7.341061115264893,-6.100976943969727,-5.800582408905029,-6.1812663078308105,-4.918243408203125,-5.852330207824707,-5.70024299621582,-5.57456636428833,-2.154315710067749,-4.441715717315674,-6.806112289428711,-6.06699800491333,-3.716275930404663,-5.826098442077637,-5.628240585327148,-6.471022605895996,-6.169661998748779,-3.385931968688965,-5.941277027130127,-7.469244003295898,-5.0325541496276855,-1.02082359790802,-0.017840353772044182
HICKORY,Who did it? Now wait a minute.,0.0,[ 1.1949235 -0.53688  ],[ 1.4043595 -1.3753022],0.0898786485195159,-6.516719818115234,-6.023301124572754,-5.625545978546143,-3.834282636642456,-4.352441787719727,-7.069362640380859,-1.2342212200164795,-0.5609275102615356,-6.931549549102783,-5.881148815155029,-5.314958572387695,-6.581121921539307,-6.486549377441406,-5.129161834716797,-6.487715244293213,-7.814000129699707,-8.105152130126953,-6.433206558227539,-7.477602005004883,-6.914034843444824,-5.831764221191406,-8.814654350280762,-3.88063907623291,-7.960503101348877,-8.404423713684082,-7.281051158905029,-3.337615728378296,0.15395374596118927
DOROTHY,Hickory!,0.0,[ 0.87343454 -0.22462502],[ 1.0995296 -1.1404449],0.0928796827793121,-5.098697662353516,-6.326019287109375,-6.043008327484131,-5.228143215179443,-4.093875885009766,-7.052310943603516,-6.180978298187256,-6.621574401855469,-6.865292549133301,-5.7703776359558105,-5.892290115356445,-6.058674335479736,-7.316991806030273,-5.840283393859863,-6.351939678192139,-6.774332046508789,-7.637213230133057,-6.094491958618164,-6.220676422119141,-7.865355491638184,-6.3645501136779785,-7.638154983520508,-5.128445625305176,-7.8465142250061035,-8.00535774230957,-5.944169998168945,-6.919918060302734,3.242534637451172
HICKORY,"Now what happened? I'll bet Hunk did
          that.

MLS -- Zeke driving pigs into pen -- Dorothy enters in b.g.
walks along railing of pen -- Zeke goes to b.g. -- CAMERA
TRUCKS forward -- Zeke pours feed into trough --",0.0,[0.08495988 0.11089724],[ 1.0375789 -1.1097733],0.0906536877155304,-6.473556995391846,-6.07819128036499,-5.9360551834106445,-4.710077285766602,-4.424129486083984,-6.641168594360352,-2.219695568084717,-0.8514066934585571,-6.874603748321533,-6.326996326446533,-6.2391228675842285,-7.27827262878418,-7.622896194458008,-5.802072048187256,-7.07165002822876,-8.084314346313477,-8.371732711791992,-6.778923511505127,-6.995364189147949,-7.717314720153809,-5.564901828765869,-9.443564414978027,-5.322310447692871,-8.618000984191895,-8.222526550292969,-7.0407304763793945,-5.120995998382568,1.0866479873657227
ZEKE,"Say! Get in there before I make a dime
          bank out of you! Listen, kid, are you
          going to let that old Gulch heifer try
          and buffalo you?

MCS -- Zeke poring feed into trough -- speaks --",0.1,[ 0.60160476 -0.30881527],[ 0.5872185 -0.7902529],0.1138380765914917,-6.064736843109131,-5.367795467376709,-4.775452136993408,-3.904033899307251,-4.7410197257995605,-5.8303070068359375,-3.8821635246276855,-1.9536590576171875,-6.116598606109619,-6.615487575531006,-6.416685581207275,-6.568241119384766,-7.498437404632568,-5.453405857086182,-6.828362464904785,-8.307373046875,-8.437532424926758,-6.493239879608154,-6.882900238037109,-7.781245708465576,-5.724420070648193,-8.941178321838379,-6.182914733886719,-8.56555461883545,-8.493270874023438,-7.323680400848389,-5.96347713470459,1.7385735511779785
